Indicativo;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;anual;Año
1387;22;21;8;12;17;12;18;7;16;18;15;17;183;2021
1387E;19;20;7;15;16;14;13;7;15;18;;17;;2021
1428;18;23;8;15;17;12;14;8;19;16;14;20;184;2021
8175;6;3;4;16;5;7;0;5;8;6;7;8;75;2021
8178D;5;5;6;18;6;8;1;6;6;6;8;9;84;2021
8025;7;4;6;20;8;5;1;4;8;8;10;5;86;2021
8019;7;3;5;16;6;7;3;2;8;8;10;7;82;2021
6325O;6;4;5;8;6;4;0;2;3;4;7;1;50;2021
9091O;14;14;7;13;15;12;10;7;13;10;15;13;143;2021
1212E;19;20;13;13;18;17;13;11;17;16;19;15;191;2021
1208H;16;17;12;10;20;16;11;10;21;14;;12;;2021
1249I;18;20;14;19;21;21;15;12;19;13;17;18;207;2021
2444;9;10;6;17;12;12;3;3;10;8;7;9;106;2021
4452;12;14;2;11;2;5;0;0;7;5;4;12;74;2021
B954;9;4;11;12;7;3;2;2;8;12;22;7;99;2021
B893;16;7;9;8;11;6;0;3;10;10;23;9;112;2021
B278;11;5;7;11;7;6;2;4;8;9;21;10;101;2021
B228;11;5;5;11;5;6;3;3;11;9;21;4;94;2021
0200E;8;11;6;14;12;8;2;9;14;10;15;5;114;2021
76;10;;3;6;7;5;;6;13;8;11;3;;2021
1082;23;15;15;11;18;16;17;11;16;11;16;13;182;2021
2331;14;13;6;15;14;14;3;7;12;10;14;12;134;2021
3469A;13;15;3;16;4;6;1;2;8;;5;10;;2021
5973;16;;;9;2;3;0;1;2;4;6;;;2021
5960;14;11;5;8;3;4;0;0;5;4;8;14;76;2021
5910;17;14;5;9;7;4;0;1;6;4;6;10;83;2021
1111;19;18;13;13;22;18;16;15;18;15;20;14;201;2021
1109;19;16;12;14;21;17;15;11;17;15;19;14;190;2021
8501;;;;;4;;;;;;;;;2021
8500A;6;8;9;19;9;12;4;9;7;4;3;;;2021
5000C;15;11;;;5;;0;;4;3;14;;;2021
4121;13;9;4;18;5;7;1;4;11;5;7;10;94;2021
5402;16;11;5;14;5;3;0;0;5;4;8;10;81;2021
8096;7;10;3;18;5;8;3;4;9;6;8;10;91;2021
1014;19;17;13;12;20;15;18;12;18;12;17;16;189;2021
1024E;19;15;14;11;17;13;18;15;18;11;19;12;182;2021
367;5;9;6;11;11;7;7;6;10;4;15;5;96;2021
5530E;13;8;4;9;5;5;0;1;5;3;11;12;76;2021
5514;13;7;5;10;6;7;0;1;6;4;10;13;82;2021
3013;;9;4;11;13;11;2;11;6;8;9;8;;2021
4642E;17;15;9;14;5;2;;;9;4;5;12;;2021
9898;9;10;2;14;5;9;3;8;6;5;7;8;86;2021
5270B;13;10;4;16;5;3;0;0;4;4;9;9;77;2021
9170;12;11;6;13;12;12;2;4;14;9;16;17;128;2021
C249I;6;6;3;0;1;0;0;2;0;2;3;4;27;2021
C649I;15;9;8;6;1;1;1;3;3;4;9;5;65;2021
C029O;9;7;5;3;0;2;0;0;0;2;6;2;36;2021
2661;12;14;4;14;12;10;3;1;12;9;5;11;107;2021
1549;13;17;5;17;14;14;4;6;12;12;11;17;142;2021
9771C;7;7;2;13;9;11;6;4;9;6;9;9;92;2021
1505;;;;;;;;;15;;;;;2021
3191E;9;9;2;20;10;8;2;4;7;5;7;10;93;2021
