Indicativo;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;anual;Año
1387;10.2;12.8;12.6;14.0;14.8;16.6;19.1;19.9;19.6;16.9;12.4;13.7;15.2;2021
1387E;8.6;11.7;10.8;12.9;13.5;16.4;18.5;19.5;18.8;15.7;10.6;12.2;14.1;2021
1428;7.3;10.4;10.6;12.0;12.8;16.4;17.7;18.6;17.6;14.6;9.5;10.6;13.2;2021
8175;3.5;9.7;9.3;12.1;17.7;21.9;26.0;26.6;21.4;16.6;8.2;8.6;15.1;2021
8178D;4.2;10.4;10.3;12.8;18.4;22.6;26.8;26.9;21.9;17.4;9.1;9.3;15.8;2021
8025;12.0;14.5;13.9;16.0;20.1;23.5;26.2;27.3;25.3;20.5;15.0;14.2;19.0;2021
8019;11.7;13.8;13.5;15.6;;23.0;25.9;27.0;;20.3;;13.8;;2021
6325O;12.5;15.1;15.6;17.6;20.3;24.0;26.1;27.6;26.0;21.8;16.1;14.7;19.8;2021
9091O;4.9;9.3;8.5;9.7;13.0;17.1;19.0;19.3;18.5;12.3;7.3;6.7;12.1;2021
1212E;8.5;11.6;;;13.3;16.0;17.9;18.9;18.4;15.5;;11.7;;2021
1208H;10.2;13.0;12.2;13.2;15.0;17.8;19.6;20.4;19.3;16.8;12.2;12.6;15.2;2021
1249I;7.3;11.1;10.6;11.7;13.6;16.2;18.4;19.3;18.3;15.2;9.1;10.6;13.5;2021
2444;2.6;7.5;7.3;10.0;13.9;18.3;21.0;22.4;16.8;13.1;4.9;7.2;12.1;2021
4452;7.9;12.5;13.8;17.0;19.2;22.8;25.4;26.5;22.9;19.2;11.2;11.6;17.5;2021
B954;11.3;13.7;13.2;14.9;18.5;22.9;25.5;26.7;25.1;19.5;14.6;13.4;18.3;2021
B893;10.7;12.2;12.3;13.9;17.3;23.5;25.0;25.5;24.1;18.6;13.8;12.2;17.4;2021
B278;9.7;12.1;11.9;13.7;17.8;23.5;25.4;26.5;25.0;18.6;13.8;11.9;17.5;2021
B228;12.0;14.3;14.2;15.6;19.3;24.5;26.8;27.7;26.0;20.7;15.4;13.9;19.2;2021
0200E;7.7;11.6;12.1;13.0;17.3;23.3;24.9;24.5;22.9;18.1;11.4;10.9;16.5;2021
0076;9.0;12.6;;13.9;17.9;23.8;;;23.8;;13.1;12.0;;2021
1082;8.8;13.1;11.8;12.5;14.9;18.6;19.7;20.0;20.9;16.2;10.8;12.3;15.0;2021
2331;2.1;7.1;7.0;8.3;12.3;16.6;19.0;20.1;17.1;11.5;5.2;6.0;11.0;2021
3469A;7.2;11.3;12.1;15.3;18.3;22.6;25.6;26.9;21.8;18.3;10.4;11.1;16.7;2021
5973;12.1;15.6;16.2;18.3;20.5;22.5;24.6;25.0;24.0;21.8;15.4;15.3;19.3;2021
5960;9.6;13.4;14.1;17.2;;22.5;25.6;26.2;23.7;20.4;;13.4;;2021
5910;10.7;14.5;15.0;17.7;20.0;22.1;25.0;25.2;23.5;21.1;14.0;14.1;18.6;2021
6001;;13.6;13.8;15.9;18.0;20.2;21.9;23.2;21.8;19.7;;13.9;;2021
1111;9.6;13.3;12.3;12.6;14.2;17.5;18.9;19.7;19.5;16.8;11.9;12.4;14.9;2021
1109;9.2;13.1;12.3;13.1;15.2;18.5;19.8;20.1;20.1;16.4;11.7;12.0;15.1;2021
8500A;11.4;13.9;13.1;14.6;19.3;23.7;25.6;26.1;24.0;19.7;14.5;13.4;18.3;2021
