Indicativo;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024;anual;Año
1387;12.6;13.3;12.3;14.7;15.3;17.4;19.8;20.6;18.4;17.9;16.4;12.4;15.9;2024
1387E;10.9;11.9;11.1;13.5;14.4;17.5;19.2;20.1;17.1;16.9;15.1;10.4;14.8;2024
1428;9.2;10.3;9.3;13.0;13.3;16.6;19.2;20.3;16.0;15.6;13.5;8.8;13.8;2024
8175;8.7;9.8;11.1;14.0;18.1;22.0;27.5;27.4;20.8;16.6;12.7;6.6;16.3;2024
8178D;9.2;10.2;11.5;14.6;18.5;22.2;27.7;27.7;21.2;17.3;13.3;7.7;16.8;2024
8025;14.4;14.8;15.8;17.1;20.6;24.4;27.3;28.0;24.4;21.5;17.9;13.2;20.0;2024
8019;13.8;14.3;15.2;16.6;19.9;23.7;26.8;27.5;24.0;21.0;17.8;13.1;19.5;2024
6325O;14.4;15.7;16.8;18.3;20.1;24.4;27.2;29.3;25.0;21.3;19.2;15.2;20.6;2024
9091O;6.9;7.9;9.7;10.7;12.8;16.9;20.3;20.7;15.4;14.1;10.3;6.9;12.7;2024
1212E;11.0;11.9;11.5;12.9;13.9;16.6;19.1;19.9;16.3;16.1;14.5;10.6;14.5;2024
1208H;12.2;12.9;12.8;14.2;15.4;18.2;20.8;21.7;18.1;17.6;16.0;12.4;16.0;2024
1249X;10.1;11.2;11.1;13.0;14.1;16.7;19.9;20.4;16.3;15.8;14.1;9.0;14.3;2024
2444;7.0;6.8;8.4;10.9;13.3;18.0;23.3;23.8;16.3;13.2;10.4;5.1;13.0;2024
4452;11.2;12.8;13.7;17.1;19.4;23.4;27.6;28.1;22.7;18.7;15.1;9.4;18.3;2024
B954;13.0;13.4;14.8;16.0;19.1;22.8;25.8;27.0;23.2;20.8;17.6;11.9;18.8;2024
B893;11.4;11.6;13.3;14.7;17.9;22.0;24.8;25.7;21.5;20.1;16.4;11.5;17.6;2024
B278;11.8;12.2;13.8;15.3;18.6;22.8;25.7;26.6;22.0;20.4;16.4;10.8;18.0;2024
B228;14.3;14.6;15.8;17.4;20.5;24.2;27.4;28.3;24.2;22.2;18.8;13.8;20.1;2024
0200E;11.1;13.4;13.2;15.1;18.2;21.1;25.7;26.7;20.6;18.0;14.6;10.5;17.4;2024
76;11.3;12.8;13.5;15.0;18.2;21.9;25.3;26.7;21.6;19.5;16.0;11.4;17.8;2024
1082;11.6;12.1;13.1;14.1;15.4;18.5;21.3;22.1;18.2;18.0;14.8;10.9;15.8;2024
