Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024
1387;11.5;13.3;12.5;14.4;17.6;17.6;19.5;20.2;19.5;16.0;14.8;11.6;15.7;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1387E;9.9;12.0;11.3;13.5;16.9;16.5;19.6;19.4;18.4;14.5;13.0;9.9;14.6;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1428;8.2;10.4;10.3;12.2;16.9;16.1;20.9;19.6;18.8;13.5;12.5;8.7;14.0;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8175;5.8;9.9;9.9;13.1;17.6;21.8;26.6;25.9;20.2;13.6;11.2;6.4;15.2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8178D;7.0;11.5;10.8;13.9;18.7;22.6;27.2;26.7;21.1;14.6;12.2;7.4;16.1;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8025;11.7;14.9;15.2;16.6;21.1;23.6;26.6;27.1;23.9;19.3;16.7;13.2;19.2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8019;11.4;14.4;14.6;16.0;20.5;23.1;26.3;27.0;23.8;19.1;16.7;12.7;18.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6325O;12.5;14.5;16.0;;22.0;22.5;28.5;27.3;24.9;19.2;17.6;14.1;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9091O;5.5;9.0;8.5;12.8;15.7;17.0;19.6;20.3;17.3;11.9;9.8;6.4;12.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1212E;10.1;12.1;10.8;13.5;15.9;16.4;18.7;19.4;18.0;14.8;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1208H;11.5;12.9;12.3;14.8;17.2;18.0;20.4;21.0;19.3;16.2;14.8;11.4;15.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1249I;9.1;12.0;10.5;13.6;16.9;16.7;19.5;19.7;18.1;13.9;12.7;8.7;14.3;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2444;5.0;8.6;7.8;10.6;16.0;18.1;23.9;21.0;17.2;10.9;9.5;4.7;12.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4452;9.5;12.7;13.8;16.0;21.6;22.6;29.1;26.2;23.8;17.2;14.5;10.2;18.1;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B954;11.1;12.4;13.6;15.4;;22.5;25.8;26.4;23.2;19.1;16.9;12.8;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B893;11.7;12.8;13.1;15.9;19.8;21.9;25.4;25.7;22.9;17.7;16.3;12.1;17.9;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B278;10.8;12.0;13.2;16.1;19.9;22.3;26.1;25.8;22.6;17.2;15.6;11.4;17.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B228;13.1;14.3;14.9;17.3;21.1;23.2;27.2;27.2;24.1;19.3;17.7;13.8;19.4;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0200E;10.1;12.8;11.9;14.4;19.5;20.1;25.0;25.5;21.8;16.4;14.7;9.3;16.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;10.6;13.1;13.1;15.4;20.0;21.7;25.5;26.2;22.4;17.3;14.9;10.8;17.6;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1082;10.4;12.7;11.2;15.7;18.1;18.4;21.0;22.2;20.4;15.2;14.5;10.4;15.9;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2331;4.2;7.7;7.3;11.2;14.7;16.1;20.5;19.9;16.1;10.4;8.5;4.6;11.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3469A;8.5;12.0;12.4;14.6;19.9;22.1;29.1;26.1;22.8;16.2;13.6;9.0;17.2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5973;13.3;16.1;16.1;17.6;21.3;22.4;26.5;25.6;24.5;19.8;18.4;14.7;19.7;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5960;10.5;;14.3;16.5;20.9;21.9;;26.1;23.9;17.9;16.3;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5910;11.8;15.2;15.4;17.0;21.0;21.9;26.6;25.4;24.0;18.9;17.1;13.1;19.0;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6001;12.4;14.0;;;;;23.7;23.4;22.4;18.1;17.0;13.5;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;11.5;12.8;11.6;14.8;16.8;17.5;20.2;20.9;19.4;16.0;15.2;11.4;15.7;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1109;10.6;12.7;;;17.8;18.4;21.0;21.4;19.9;15.9;14.6;11.0;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8500A;11.2;14.4;14.1;16.4;21.2;23.1;26.6;26.8;23.6;18.8;15.5;12.1;18.7;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5000C;14.3;16.0;15.9;16.6;20.3;22.3;25.0;26.0;23.6;19.4;17.6;15.0;19.3;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4121;6.7;10.7;11.7;14.6;20.2;23.4;29.0;26.6;21.5;14.7;11.5;7.4;16.5;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5402;10.2;14.2;14.7;16.8;22.4;24.7;30.8;28.4;24.7;17.9;15.3;10.1;19.2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8096;6.2;10.0;9.5;12.5;17.7;20.6;25.9;24.5;19.4;12.5;10.9;5.7;14.6;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;9.9;12.8;11.7;16.0;18.4;18.9;21.9;22.6;20.2;15.3;13.8;10.2;16.0;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024E;9.8;12.2;10.5;14.7;16.9;16.9;19.7;20.8;18.8;14.3;13.8;9.2;14.8;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;8.0;11.0;10.7;13.7;19.1;;;25.2;;;12.6;8.1;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5530E;7.2;11.4;12.2;14.4;20.2;22.7;28.8;26.7;22.3;15.3;13.1;8.1;16.9;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5514;7.3;11.3;12.0;13.5;19.0;22.1;27.9;26.5;21.6;15.5;12.9;7.7;16.4;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
